Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
19/02/2025,92,10,17,53,92,4
18/02/2025,83,7,13,51,83,4
17/02/2025,64,7,15,43,64,3
16/02/2025,67,6,16,45,67,7
15/02/2025,131,7,27,67,131,11
14/02/2025,165,8,26,87,165,12
13/02/2025,154,8,15,77,154,11
12/02/2025,152,10,18,77,152,45
11/02/2025,194,10,22,116,194,10
10/02/2025,177,12,22,104,177,20
09/02/2025,113,5,13,67,113,15
08/02/2025,45,3,8,29,45,29
07/02/2025,43,19,24,31,43,33
06/02/2025,97,7,2,-,97,15
05/02/2025,130,7,11,-,130,8
04/02/2025,73,9,7,-,73,7
03/02/2025,43,6,-,-,43,6
02/02/2025,75,6,6,-,75,8
01/02/2025,62,4,2,-,62,3
31/01/2025,95,5,6,73,95,4
30/01/2025,138,23,5,83,138,11
29/01/2025,163,10,15,95,163,10
28/01/2025,139,10,11,82,139,14
27/01/2025,152,13,11,88,152,26
26/01/2025,92,10,11,61,92,16
25/01/2025,105,9,14,66,105,5
24/01/2025,141,8,12,81,141,3
23/01/2025,213,12,18,141,213,9
22/01/2025,192,17,20,126,192,24
21/01/2025,220,16,22,150,220,17
20/01/2025,230,16,37,157,230,22
19/01/2025,186,11,29,124,186,8
18/01/2025,199,14,28,136,199,14
17/01/2025,177,13,30,116,177,17
16/01/2025,188,13,36,125,188,15
15/01/2025,178,14,27,115,178,10
14/01/2025,192,18,44,130,192,12
13/01/2025,196,37,86,138,196,56
12/01/2025,186,15,32,121,186,13
11/01/2025,108,10,27,68,108,12
10/01/2025,82,6,12,56,82,8
09/01/2025,163,8,25,96,163,7
08/01/2025,191,9,24,122,191,8
07/01/2025,227,18,39,151,227,13
06/01/2025,225,37,35,153,225,38
05/01/2025,200,16,47,134,200,10
04/01/2025,200,15,29,130,200,11
03/01/2025,188,21,19,119,188,11
02/01/2025,216,20,36,140,216,12
01/01/2025,201,15,28,130,201,13
31/12/2024,165,10,21,99,165,8
30/12/2024,206,13,29,130,206,15
29/12/2024,176,11,27,112,176,20
28/12/2024,131,13,39,79,131,6
27/12/2024,118,6,10,65,118,5
26/12/2024,189,13,28,126,189,12
25/12/2024,200,15,47,129,200,13
24/12/2024,193,11,46,124,193,10
23/12/2024,206,16,42,133,206,13
22/12/2024,209,16,45,135,209,13
21/12/2024,174,11,31,107,174,12
20/12/2024,177,14,45,111,177,8
19/12/2024,167,14,42,100,167,11
18/12/2024,169,12,12,101,169,16
17/12/2024,187,10,15,117,187,45
16/12/2024,155,19,12,83,155,35
15/12/2024,135,6,-,74,135,3
14/12/2024,103,6,4,61,103,3
13/12/2024,72,5,5,50,72,4
12/12/2024,67,6,6,51,67,2
11/12/2024,123,9,-,66,123,2
10/12/2024,173,9,-,104,173,3
09/12/2024,129,36,-,74,129,44
08/12/2024,33,4,-,28,33,2
07/12/2024,104,5,-,61,104,3
06/12/2024,117,6,-,67,117,2
05/12/2024,133,6,-,78,133,6
04/12/2024,91,25,-,62,91,66
03/12/2024,139,9,-,78,139,6
02/12/2024,162,12,-,95,162,9
01/12/2024,171,15,-,103,171,12
30/11/2024,182,14,-,114,182,24
29/11/2024,152,11,-,86,152,7
28/11/2024,87,6,-,59,87,6
27/11/2024,68,7,-,52,68,11
26/11/2024,108,7,-,66,108,7
25/11/2024,169,37,-,96,169,54
24/11/2024,165,12,-,96,165,24
23/11/2024,148,11,-,81,148,8
22/11/2024,142,14,-,79,142,8
21/11/2024,73,7,-,53,73,5
20/11/2024,72,6,-,52,72,4
19/11/2024,110,18,-,66,110,29
18/11/2024,151,12,-,80,151,15
17/11/2024,118,13,-,68,118,5
16/11/2024,103,8,-,63,103,8
15/11/2024,140,10,-,75,140,9
14/11/2024,160,8,-,84,160,9
13/11/2024,165,51,-,93,165,28
12/11/2024,185,14,-,110,185,17
11/11/2024,153,9,-,85,153,12
10/11/2024,152,13,-,82,152,11
09/11/2024,161,11,-,92,161,26
08/11/2024,152,12,-,84,152,10
07/11/2024,154,23,-,84,154,7
06/11/2024,157,16,-,88,157,28
05/11/2024,136,10,-,74,136,15
04/11/2024,144,6,-,75,144,11
03/11/2024,163,12,-,92,163,6
02/11/2024,155,18,-,83,155,13
01/11/2024,137,10,-,75,137,58
31/10/2024,118,11,-,67,118,12
30/10/2024,106,40,-,65,106,53
29/10/2024,132,10,-,70,132,23
28/10/2024,75,16,-,50,75,14
27/10/2024,84,9,-,55,84,14
26/10/2024,127,14,-,74,127,36
25/10/2024,111,12,-,69,111,15
24/10/2024,106,60,-,68,106,60
23/10/2024,48,8,-,38,48,14
22/10/2024,87,8,-,56,87,2
21/10/2024,91,13,-,59,91,1
20/10/2024,86,7,-,56,86,1
19/10/2024,47,4,-,37,47,1
18/10/2024,73,7,-,52,73,1
17/10/2024,72,9,-,53,72,2
16/10/2024,73,50,-,51,73,45
15/10/2024,96,8,-,56,96,6
14/10/2024,129,12,-,70,129,8
13/10/2024,145,8,-,76,145,6
12/10/2024,167,18,-,92,167,30
11/10/2024,151,18,-,79,151,51
10/10/2024,141,25,-,75,141,54
09/10/2024,135,12,-,72,135,10
08/10/2024,132,12,-,71,132,9
07/10/2024,125,13,-,69,125,7
06/10/2024,148,18,-,81,148,5
05/10/2024,145,14,-,81,145,10
04/10/2024,114,12,-,69,114,19
03/10/2024,84,11,-,57,84,5
02/10/2024,81,9,-,52,81,5
01/10/2024,83,12,-,56,83,18
30/09/2024,37,9,-,27,37,1
29/09/2024,48,5,-,36,48,4
28/09/2024,50,5,-,39,50,2
27/09/2024,113,8,-,62,113,7
26/09/2024,130,8,-,69,130,4
25/09/2024,136,7,-,71,136,8
24/09/2024,100,21,-,61,100,43
23/09/2024,83,5,-,58,83,8
22/09/2024,63,8,-,47,63,10
21/09/2024,74,9,-,48,74,1
20/09/2024,97,3,-,56,97,8
19/09/2024,113,17,-,62,113,57
18/09/2024,96,12,-,58,96,3
17/09/2024,72,11,-,49,72,1
16/09/2024,73,8,-,48,73,4
15/09/2024,117,10,-,63,117,7
14/09/2024,122,23,-,64,122,15
13/09/2024,54,9,-,36,54,2
12/09/2024,51,13,-,36,51,2
11/09/2024,32,9,-,21,32,5
10/09/2024,19,7,-,14,19,2
09/09/2024,20,8,-,17,20,1
08/09/2024,17,10,-,13,17,1
07/09/2024,48,10,-,32,48,5
06/09/2024,138,10,-,71,138,1
05/09/2024,102,7,-,59,102,1
04/09/2024,86,8,-,54,86,3
03/09/2024,53,5,-,38,53,0
02/09/2024,76,8,-,51,76,2
01/09/2024,68,7,-,45,68,7
31/08/2024,74,9,-,49,74,22
30/08/2024,69,8,-,48,69,5
29/08/2024,135,8,-,69,135,1
28/08/2024,108,8,-,59,108,1
27/08/2024,72,35,-,48,72,33
26/08/2024,43,6,-,32,43,6
25/08/2024,38,8,-,27,38,8
24/08/2024,63,13,-,43,63,7
23/08/2024,27,7,-,17,27,4
22/08/2024,41,8,-,32,41,3
21/08/2024,75,7,-,50,75,3
20/08/2024,78,6,-,51,78,2
19/08/2024,111,13,-,61,111,38
18/08/2024,105,8,-,59,105,2
17/08/2024,114,13,-,64,114,19
16/08/2024,70,10,-,50,70,3
15/08/2024,55,6,-,40,55,4
14/08/2024,46,5,-,35,46,4
13/08/2024,69,9,-,47,69,2
12/08/2024,69,35,-,45,69,62
11/08/2024,48,8,-,33,48,8
10/08/2024,70,6,-,51,70,8
09/08/2024,60,6,-,45,60,8
08/08/2024,56,4,-,42,56,8
07/08/2024,60,51,-,43,59,60
06/08/2024,56,4,-,40,56,6
05/08/2024,49,4,-,37,49,2
04/08/2024,33,4,-,30,33,2
03/08/2024,71,9,-,51,71,8
02/08/2024,29,5,-,24,29,2
01/08/2024,37,5,-,31,37,3
31/07/2024,31,5,-,26,31,3
30/07/2024,21,4,-,16,21,2
29/07/2024,26,5,-,26,-,1
28/07/2024,44,9,-,44,-,1
27/07/2024,63,10,-,63,-,-
26/07/2024,54,8,-,54,-,1
25/07/2024,50,7,-,50,-,3
24/07/2024,37,27,-,21,-,37
23/07/2024,29,6,-,29,-,4
22/07/2024,50,7,-,50,-,3
21/07/2024,40,8,-,40,-,5
20/07/2024,36,8,-,36,-,4
19/07/2024,30,7,-,30,-,3
18/07/2024,37,8,-,37,-,2
17/07/2024,38,19,-,38,-,37
16/07/2024,41,7,-,41,-,5
15/07/2024,49,9,-,49,-,4
14/07/2024,26,4,-,26,-,-
13/07/2024,40,6,-,40,-,2
12/07/2024,68,51,-,38,-,68
11/07/2024,42,4,-,42,-,4
10/07/2024,38,4,-,38,-,2
09/07/2024,33,3,-,33,-,-
08/07/2024,27,2,-,27,-,2
07/07/2024,28,2,-,28,-,3
06/07/2024,28,3,-,28,-,4
05/07/2024,22,5,-,22,-,16
04/07/2024,27,6,-,27,-,2
03/07/2024,29,17,-,29,-,1
02/07/2024,41,4,-,41,-,1
01/07/2024,60,5,-,60,-,2
30/06/2024,46,5,-,46,-,1
29/06/2024,35,3,-,35,-,-
28/06/2024,28,3,-,28,-,5
27/06/2024,24,5,-,24,-,4
26/06/2024,35,29,-,35,-,3
25/06/2024,41,10,-,41,-,8
24/06/2024,63,54,-,37,-,63
23/06/2024,35,-,-,35,-,1
22/06/2024,37,5,-,37,-,-
21/06/2024,34,10,-,34,-,4
20/06/2024,50,10,-,50,-,13
19/06/2024,42,5,-,42,-,1
18/06/2024,60,60,-,46,-,37
17/06/2024,48,6,-,48,-,1
16/06/2024,58,11,-,58,-,0
15/06/2024,72,9,-,72,-,0
14/06/2024,82,7,-,82,-,7
13/06/2024,61,6,-,61,-,7
12/06/2024,64,35,-,52,62,64
29/05/2024,64,3,-,49,64,6
28/05/2024,111,6,5,51,84,111
27/05/2024,51,5,6,41,51,2
26/05/2024,41,5,6,31,41,6
25/05/2024,49,4,7,34,49,11
24/05/2024,121,9,10,66,121,11
23/05/2024,111,6,13,62,111,18
22/05/2024,92,7,9,56,92,9
21/05/2024,79,39,10,53,79,32
20/05/2024,111,14,13,64,111,28
19/05/2024,40,10,11,31,40,3
18/05/2024,66,8,16,52,66,7
17/05/2024,104,12,11,66,104,13
16/05/2024,70,10,9,51,70,9
